Statistic,Per 90,Percentile,Table
Non-Penalty Goals,0.38,89.0,scout_summary_AM
npxG: Non-Penalty xG,0.22,55.0,scout_summary_AM
Shots Total,2.23,64.0,scout_summary_AM
Assists,0.28,80.0,scout_summary_AM
xAG: Exp. Assisted Goals,0.23,75.0,scout_summary_AM
npxG + xAG,0.45,67.0,scout_summary_AM
Shot-Creating Actions,4.59,87.0,scout_summary_AM
Passes Attempted,44.93,86.0,scout_summary_AM
Pass Completion %,83.8%,89.0,scout_summary_AM
Progressive Passes,2.84,36.0,scout_summary_AM
Progressive Carries,5.16,90.0,scout_summary_AM
Successful Take-Ons,1.94,81.0,scout_summary_AM
Touches (Att Pen),6.20,87.0,scout_summary_AM
Progressive Passes Rec,9.47,79.0,scout_summary_AM
Tackles,1.80,74.0,scout_summary_AM
Interceptions,0.52,64.0,scout_summary_AM
Blocks,0.71,24.0,scout_summary_AM
Clearances,0.90,65.0,scout_summary_AM
Aerials Won,0.47,48.0,scout_summary_AM
