Statistic,Per 90,Percentile,Table
Non-Penalty Goals,0.40,90.0,scout_summary_AM
npxG: Non-Penalty xG,0.20,42.0,scout_summary_AM
Shots Total,2.08,54.0,scout_summary_AM
Assists,0.18,55.0,scout_summary_AM
xAG: Exp. Assisted Goals,0.22,71.0,scout_summary_AM
npxG + xAG,0.42,58.0,scout_summary_AM
Shot-Creating Actions,3.80,71.0,scout_summary_AM
Passes Attempted,34.77,62.0,scout_summary_AM
Pass Completion %,66.1%,9.0,scout_summary_AM
Progressive Passes,3.72,64.0,scout_summary_AM
Progressive Carries,3.43,64.0,scout_summary_AM
Successful Take-Ons,1.37,50.0,scout_summary_AM
Touches (Att Pen),4.43,59.0,scout_summary_AM
Progressive Passes Rec,9.25,77.0,scout_summary_AM
Tackles,1.29,38.0,scout_summary_AM
Interceptions,0.37,38.0,scout_summary_AM
Blocks,0.69,22.0,scout_summary_AM
Clearances,1.45,90.0,scout_summary_AM
Aerials Won,0.90,76.0,scout_summary_AM
