goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,15,Sub,Chelsea,Manchester United,1,0,2025-05-16,26966,2024,727558,0,0,0,0,0,0.05775585025548935,0.05775585025548935
0,1,0.2598091959953308,29,Sub,Manchester United,West Ham,0,2,2025-05-11,26956,2024,726582,0.0368066243827343,0,2,0,0.2598091959953308,0.18138086795806885,0.16364002227783203
1,2,0.11103081703186035,90,AMC,Brentford,Manchester United,4,3,2025-05-04,26947,2024,724653,0.61753249168396,1,5,1,0.11103081703186035,0.8733340501785278,0.5789636373519897
0,8,0.5956125259399414,90,AMC,Bournemouth,Manchester United,1,1,2025-04-27,26932,2024,722980,0.07572779059410095,0,1,0,0.5956125259399414,0.637703537940979,0.44446125626564026
0,1,0.04916497692465782,90,AMC,Manchester United,Wolverhampton Wanderers,0,1,2025-04-20,26929,2024,721012,0.2797730565071106,0,3,0,0.04916497692465782,0.8746320605278015,0.5456940531730652
1,2,0.14532524347305298,57,AMC,Newcastle United,Manchester United,4,1,2025-04-13,26918,2024,719542,0,0,0,1,0.14532524347305298,0.14532524347305298,0
0,2,0.16532567143440247,90,AMC,Manchester United,Manchester City,0,0,2025-04-06,26909,2024,717799,0,0,0,0,0.16532567143440247,0.7375841736793518,0.5953523516654968
0,6,0.23961599171161652,90,AMC,Nottingham Forest,Manchester United,1,0,2025-04-01,26894,2024,716025,0.24355058372020721,0,4,0,0.23961599171161652,1.0906717777252197,0.7424851655960083
1,3,0.12930727005004883,70,AMC,Leicester,Manchester United,0,3,2025-03-16,26888,2024,714294,0,0,0,1,0.12930727005004883,0.08543854206800461,0
0,2,0.10764728486537933,90,AMC,Manchester United,Arsenal,1,1,2025-03-09,26877,2024,712189,0.057532425969839096,0,1,0,0.10764728486537933,0.4875052571296692,0.37985798716545105
0,1,0.0711902603507042,44,AMC,Manchester United,Ipswich,3,2,2025-02-26,26871,2024,709213,0.06497438997030258,0,1,0,0.0711902603507042,0.13616465032100677,0
0,1,0.09588675200939178,22,Sub,Everton,Manchester United,2,2,2025-02-22,26855,2024,707540,0,0,0,0,0.09588675200939178,0.09588675200939178,0
0,4,0.4913526177406311,90,AMC,Tottenham,Manchester United,1,0,2025-02-16,26850,2024,707006,0.017189664766192436,0,1,0,0.4913526177406311,0.5922139286994934,0.0836716741323471
0,3,0.5542938709259033,90,FWL,Manchester United,Crystal Palace,0,2,2025-02-02,26838,2024,703986,0.06773954629898071,0,1,0,0.5542938709259033,0.6953890919685364,0.1601627767086029
0,0,0,82,AMC,Fulham,Manchester United,0,1,2025-01-26,26826,2024,702349,0,0,0,0,0,0,0
0,2,0.11465191841125488,24,Sub,Manchester United,Brighton,1,3,2025-01-19,26818,2024,700478,0,0,0,0,0.11465191841125488,0.11465191841125488,0
0,7,0.8976433873176575,90,AMC,Manchester United,Southampton,3,1,2025-01-16,26811,2024,699573,0.5375747084617615,0,3,0,0.8976433873176575,1.7605961561203003,0.4044596254825592
0,1,0.04645421355962753,16,Sub,Liverpool,Manchester United,2,2,2025-01-05,26797,2024,697733,0.03185160830616951,0,1,0,0.04645421355962753,0.04645421355962753,0
0,0,0,22,Sub,Manchester United,Newcastle United,0,2,2024-12-30,26789,2024,696961,0,0,0,0,0,0,0
0,1,0.04132986441254616,10,Sub,Wolverhampton Wanderers,Manchester United,2,0,2024-12-26,26781,2024,696330,0,0,0,0,0.04132986441254616,0.04132986441254616,0
0,1,0.2907522916793823,34,Sub,Manchester United,Bournemouth,0,3,2024-12-22,26769,2024,695735,0.469735324382782,0,4,0,0.2907522916793823,0.8000963926315308,0.09220793843269348
0,2,0.46769145131111145,60,AMC,Manchester United,Nottingham Forest,2,3,2024-12-07,26744,2024,692382,0,0,1,0,0.46769145131111145,0.46769145131111145,0
0,0,0,60,AMC,Arsenal,Manchester United,2,0,2024-12-04,26733,2024,691530,0,0,0,0,0,0,0
0,1,0.09699609875679016,22,Sub,Manchester United,Everton,4,0,2024-12-01,26727,2024,690653,0,0,0,0,0.09699609875679016,0.20320944488048553,0.20320944488048553
0,2,0.36217448115348816,89,AMC,Ipswich,Manchester United,1,1,2024-11-24,26718,2024,689266,0,0,0,0,0.36217448115348816,0.39147481322288513,0.029300330206751823
1,2,0.11857970058917999,31,Sub,Manchester United,Leicester,3,0,2024-11-10,26708,2024,687351,0,0,0,1,0.11857970058917999,0.1686023622751236,0.050022661685943604
0,4,0.508659839630127,90,AMR,Manchester United,Chelsea,1,1,2024-11-03,26697,2024,685862,0,0,0,0,0.508659839630127,0.7601568698883057,0.2514970600605011
0,3,0.5290736556053162,90,AML,West Ham,Manchester United,2,1,2024-10-27,26690,2024,683473,0.5521127581596375,0,2,0,0.5290736556053162,1.1114041805267334,0.0302177332341671
1,8,0.5396186709403992,90,AML,Manchester United,Brentford,2,1,2024-10-19,26675,2024,681297,0.05047883838415146,0,2,1,0.5396186709403992,0.9695879220962524,0.40366289019584656
0,3,0.07177182286977768,90,AMR,Aston Villa,Manchester United,0,0,2024-10-06,26670,2024,680094,0,0,0,0,0.07177182286977768,0.05232414975762367,0
0,3,0.14553532004356384,90,AMR,Manchester United,Tottenham,0,3,2024-09-29,26660,2024,678649,0.05154662951827049,0,1,0,0.14553532004356384,0.36389249563217163,0.2183571755886078
0,3,0.657313346862793,90,AML,Crystal Palace,Manchester United,0,0,2024-09-21,26649,2024,675951,0,0,0,0,0.657313346862793,0.9666113257408142,0.30929794907569885
1,2,0.6120920777320862,13,Sub,Southampton,Manchester United,0,3,2024-09-14,26632,2024,673383,0.02633184939622879,0,1,1,0.6120920777320862,0.6384239196777344,0
0,0,0,74,AMR,Manchester United,Liverpool,0,3,2024-09-01,26631,2024,672619,0.07979319989681244,0,1,0,0,0.07979319989681244,0
0,1,0.5201026797294617,24,Sub,Brighton,Manchester United,2,1,2024-08-24,26612,2024,667719,0.017420707270503044,0,1,0,0.5201026797294617,0.5375233888626099,0.017420707270503044
0,2,0.4038030505180359,28,Sub,Manchester United,Fulham,1,0,2024-08-16,26602,2024,666180,0.1898372620344162,1,2,0,0.4038030505180359,0.6021967530250549,0.03178107738494873
