id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
585845,10,MissedShots,0.874000015258789,0.4540000152587891,0.2974199950695038,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26612,Brighton,Manchester United,2,1,2024-08-24 11:30:00,Diogo Dalot,Cross
585857,59,Goal,0.8880000305175781,0.35400001525878905,0.06445378810167313,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26612,Brighton,Manchester United,2,1,2024-08-24 11:30:00,Noussair Mazraoui,Pass
589916,80,MissedShots,0.7930000305175782,0.25799999237060545,0.01336634624749422,Amad Diallo Traore,h,8127,OpenPlay,2024,LeftFoot,26631,Manchester United,Liverpool,0,3,2024-09-01 15:00:00,Noussair Mazraoui,Pass
590476,28,SavedShot,0.7569999694824219,0.28600000381469726,0.01926337741315365,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26632,Southampton,Manchester United,0,3,2024-09-14 11:30:00,Matthijs de Ligt,Pass
592628,49,BlockedShot,0.8340000152587891,0.3039999961853027,0.0315881222486496,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26649,Crystal Palace,Manchester United,0,0,2024-09-21 16:30:00,Bruno Fernandes,Pass
592632,62,BlockedShot,0.8530000305175781,0.3659999847412109,0.05955642834305763,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26649,Crystal Palace,Manchester United,0,0,2024-09-21 16:30:00,,BallRecovery
598857,76,BlockedShot,0.7190000152587891,0.4209999847412109,0.015550664626061916,Amad Diallo Traore,a,8127,FromCorner,2024,LeftFoot,26690,West Ham,Manchester United,2,1,2024-10-27 14:00:00,,BallTouch
598861,83,SavedShot,0.7419999694824219,0.34200000762939453,0.013000856153666973,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26690,West Ham,Manchester United,2,1,2024-10-27 14:00:00,Diogo Dalot,LayOff
602047,5,BlockedShot,0.8930000305175781,0.30100000381469727,0.05375140905380249,Amad Diallo Traore,h,8127,OpenPlay,2024,LeftFoot,26708,Manchester United,Leicester,3,0,2024-11-10 14:00:00,Bruno Fernandes,Pass
602057,41,BlockedShot,0.799000015258789,0.3270000076293945,0.04489690437912941,Amad Diallo Traore,h,8127,OpenPlay,2024,LeftFoot,26708,Manchester United,Leicester,3,0,2024-11-10 14:00:00,Bruno Fernandes,Pass
602059,47,SavedShot,0.8469999694824218,0.485,0.24193386733531952,Amad Diallo Traore,h,8127,OpenPlay,2024,LeftFoot,26708,Manchester United,Leicester,3,0,2024-11-10 14:00:00,Casemiro,TakeOn
602063,91,MissedShots,0.7769999694824219,0.33,0.038556504994630814,Amad Diallo Traore,h,8127,OpenPlay,2024,RightFoot,26708,Manchester United,Leicester,3,0,2024-11-10 14:00:00,Christian Eriksen,Pass
603545,45,SavedShot,0.774000015258789,0.27700000762939453,0.018576547503471375,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26718,Ipswich,Manchester United,1,1,2024-11-24 16:30:00,Noussair Mazraoui,Pass
603555,92,BlockedShot,0.875999984741211,0.4159999847412109,0.11658765375614166,Amad Diallo Traore,a,8127,OpenPlay,2024,LeftFoot,26718,Ipswich,Manchester United,1,1,2024-11-24 16:30:00,Manuel Ugarte,TakeOn
604649,7,BlockedShot,0.85,0.3729999923706055,0.020825089886784554,Amad Diallo Traore,h,8127,FromCorner,2024,LeftFoot,26727,Manchester United,Everton,4,0,2024-12-01 13:30:00,,Aerial
