goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,4,1.655184268951416,80,FW,Manchester City,Aston Villa,2,1,2025-04-22,26937,2024,721736,0.07971290498971939,0,1,0,0.894015371799469,0.894015371799469,0
0,0,0,4,Sub,Aston Villa,Newcastle United,4,1,2025-04-19,26922,2024,720624,0.04907245561480522,0,1,0,0,0.04907245561480522,0
0,4,0.13099965453147888,67,FW,Southampton,Aston Villa,0,3,2025-04-12,26921,2024,718652,0.09784203767776489,0,3,0,0.13099965453147888,0.07518339157104492,0
0,2,0.41768622398376465,27,Sub,Aston Villa,Nottingham Forest,2,1,2025-04-05,26902,2024,717058,0.05469994992017746,0,1,0,0.41768622398376465,0.47989627718925476,0.06221003457903862
1,2,0.46701252460479736,66,FW,Brighton,Aston Villa,0,3,2025-04-02,26893,2024,716197,0,0,0,1,0.46701252460479736,0.46701252460479736,0
0,0,0,21,Sub,Brentford,Aston Villa,0,1,2025-03-08,26872,2024,711568,0,0,0,0,0,0,0
0,0,0,18,Sub,Crystal Palace,Aston Villa,4,1,2025-02-25,26868,2024,709116,0,0,0,0,0,0,0
0,2,0.11438959836959839,38,Sub,Aston Villa,Chelsea,2,1,2025-02-22,26854,2024,708086,1.5319023132324219,2,3,0,0.11438959836959839,0.733906626701355,0
0,1,0.08314178884029388,70,AML,Aston Villa,Liverpool,2,2,2025-02-19,26884,2024,707335,0,0,0,0,0.08314178884029388,0.08314178884029388,0
0,4,0.17802153527736664,40,Sub,Aston Villa,Ipswich,1,1,2025-02-15,26842,2024,706165,0.7446513175964355,0,4,0,0.17802153527736664,0.9749462604522705,0.4457489848136902
0,1,0.04348764196038246,30,Sub,Manchester United,Nottingham Forest,2,3,2024-12-07,26744,2024,692388,0.08393916487693787,0,2,0,0.04348764196038246,0.0353245884180069,0.0353245884180069
0,0,0,30,Sub,Arsenal,Manchester United,2,0,2024-12-04,26733,2024,691536,0,0,0,0,0,0,0
2,4,0.5754665732383728,90,AMC,Manchester United,Everton,4,0,2024-12-01,26727,2024,690651,0.09699609875679016,0,1,2,0.5754665732383728,0.6303465366363525,0
1,1,0.44502103328704834,71,FW,Ipswich,Manchester United,1,1,2024-11-24,26718,2024,689268,0.09337323158979416,0,1,1,0.44502103328704834,0.5383942723274231,0
0,0,0,59,AML,Manchester United,Leicester,3,0,2024-11-10,26708,2024,687349,0,0,0,0,0,0.6091387271881104,0.6091387271881104
0,2,0.2727145254611969,75,AML,Manchester United,Chelsea,1,1,2024-11-03,26697,2024,685864,0,0,0,0,0.2727145254611969,0.2995056211948395,0.04800856113433838
0,0,0,62,AMR,West Ham,Manchester United,2,1,2024-10-27,26690,2024,683471,0.036326371133327484,0,1,0,0,0.36483657360076904,0.36483657360076904
0,2,0.13454020023345947,90,AMR,Manchester United,Brentford,2,1,2024-10-19,26675,2024,681295,0.387787401676178,1,3,0,0.13454020023345947,0.923031747341156,0.40070411562919617
0,2,0.20845386385917664,67,AML,Aston Villa,Manchester United,0,0,2024-10-06,26670,2024,680096,0.022885868325829506,0,1,0,0.20845386385917664,0.24556228518486023,0.014222556725144386
0,0,0,78,AML,Manchester United,Tottenham,0,3,2024-09-29,26660,2024,678651,0.05292917788028717,0,1,0,0,0.15078569948673248,0.15078569948673248
0,0,0,29,Sub,Crystal Palace,Manchester United,0,0,2024-09-21,26649,2024,675955,0,0,0,0,0,0,0
1,4,0.25992369651794434,77,AML,Southampton,Manchester United,0,3,2024-09-14,26632,2024,673381,0.01835806854069233,0,1,1,0.25992369651794434,0.9512239098548889,0.7125238180160522
0,0,0,90,AML,Manchester United,Liverpool,0,3,2024-09-01,26631,2024,672621,0.9978411197662354,0,2,0,0,1.0152345895767212,0.5418434739112854
0,0,0,66,AML,Brighton,Manchester United,2,1,2024-08-24,26612,2024,667717,0,0,0,0,0,0,0
0,0,0,90,AML,Manchester United,Fulham,1,0,2024-08-16,26602,2024,666178,0.3805783987045288,0,1,0,0,0.505109965801239,0.1245315670967102
